id,escolas_postos,bairro,endereço ,lat,lon
260,EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AV. BRASIL 4040 RUAA DA VITORIA,-22.87374,-43.24071
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUAA AGOSTINHO BARBALHO 401,-22.87608,-43.34337
090,EM THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JR S/NO,-22.81631,-43.34015
274,EM ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA 1386,-22.80769,-43.18156
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,"RUAA SERENATA, 40",-22.81244,-43.20966
390,E.M. ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUAA FAUSTO E CASTRO S/NO,-22.81631,-43.34015
608,EM GRANDJEAN DE MONTIGNY,PAVUNA,"PRACA DOS UCRANIANOS, S/NO",-22.81389,-43.37393
589,EM MARIO PIRAGIBE,ANCHIETA,"PRACA NOSSA SENHORA DAS DORES, S/NO",-22.82558,-43.39208
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO 4.035,-22.82636,-43.40288
091,E.M. PIAUI,GUADALUPE,AVENIDA BRASIL 23.364,-22.84542,-43.37852
248,E.M. ASPIRANTE CARLOS ALFREDO,TURIACU,RUAA IBIA 105,-22.86085,-43.34455
623,EM CECILIA MEIRELES,VILA KOSMOS,"RUA SD. SERVINO MENGARDA, 260",-22.84944,-43.30379
603,EM ESPIRITO SANTO,CAVALCANTI,"RUAA HERCULANO PENA, S/N",-22.8743,-43.31472
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,"AV. BRAZ DE PINA, 1614",-22.83783,-43.31254
520,EM BARONESA DE SAAVEDRA,REALENGO,"RUA MAL. BIBIANO COSTALAT, 483-639",-22.87185,-43.43243
412,EM MOZART LAGO,OSWALDO CRUZ,RUAA JOSE CARVALHO SALGADO S/N.O,-22.87221,-43.35033
031,E.M. PARA,ROCHA MIRANDA,AV. DOS ITALIANOS 500,-22.85196,-43.34949
514,EM PARANA,CASCADURA,AV. ERNANI CARDOSO 316,-22.88241,-43.33811
023,EM CERVANTES,BENTO RIBEIRO,RUAA ABILIO DOS SANTOS 170,-22.86459,-43.36595
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,COLEGIO,"ESTR. LUIZDE CAMOES, 1446",-22.84604,-43.33867
016,CIEP JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,"RUAA EDGAR WERNECK, 1.565",-22.94711,-43.35974
570,EM HELENA LOPES ABRANCHES,GARDENIA AZUL,RUAA ACAPORI 495,-22.96072,-43.35344
528,CIEP MARGARET MEE,RECREIO,RUAA MINISTRO ALIOMAR BALEEIRO S/NO,-23.01981,-43.48172
414,EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA 3327,-22.97336,-43.32916
